candidate_skills,years_experience,education_level,past_job_titles,certifications,expected_salary,candidate_location,job_title,required_skills,min_experience,job_description,budgeted_salary_min,budgeted_salary_max,job_location,is_fit
"Docker, Node.js, Python",10,Master's,Backend Engineer,AWS Certified,90906,Seattle,Backend Engineer,"AWS, NLP, TensorFlow",10,Looking for a motivated individual with strong technical and problem-solving skills.,77287,152323,Seattle,0
"React, Pandas, Docker, Deep Learning, SQL, Machine Learning",5,Master's,"AI Researcher, Backend Engineer","None, Coursera NLP",148790,Seattle,ML Engineer,"Docker, Kubernetes, AWS",10,Looking for a motivated individual with strong technical and problem-solving skills.,72276,134488,Remote,0
"Node.js, Python, TensorFlow, React, SQL",11,PhD,AI Researcher,None,143192,Remote,ML Engineer,"Machine Learning, Kubernetes, Python, SQL",9,Looking for a motivated individual with strong technical and problem-solving skills.,95201,157803,Seattle,0
"Data Analysis, React, Pandas",7,Master's,Data Scientist,DataCamp DS,139048,Seattle,AI Researcher,"Kubernetes, React, Python, Deep Learning, AWS",10,Looking for a motivated individual with strong technical and problem-solving skills.,68965,122002,New York,0
"AWS, Machine Learning, Pandas, Deep Learning, Node.js",4,PhD,"Data Scientist, AI Researcher",Coursera NLP,137467,San Francisco,Data Scientist,"Pandas, NLP, Kubernetes",7,Looking for a motivated individual with strong technical and problem-solving skills.,97018,105465,Austin,0
"Docker, AWS, Data Analysis",10,PhD,"Data Scientist, Software Developer",Coursera NLP,59711,Austin,Data Scientist,"Data Analysis, Docker, Machine Learning, SQL",2,Looking for a motivated individual with strong technical and problem-solving skills.,98062,150137,Austin,0
"AWS, Java, Pandas, Python, SQL, Machine Learning",2,Bachelor's,AI Researcher,DataCamp DS,51640,San Francisco,ML Engineer,"Pandas, Deep Learning, TensorFlow, SQL",9,Looking for a motivated individual with strong technical and problem-solving skills.,76997,132264,Austin,0
"AWS, Data Analysis, React, Node.js",8,Bachelor's,"Backend Engineer, Software Developer","AWS Certified, None",130688,New York,ML Engineer,"Node.js, Docker, Machine Learning, Data Analysis, AWS",6,Looking for a motivated individual with strong technical and problem-solving skills.,62087,107811,Remote,0
"Deep Learning, TensorFlow, React, Pandas",10,Bachelor's,Data Scientist,DataCamp DS,129187,New York,AI Researcher,"Node.js, TensorFlow, Java",6,Looking for a motivated individual with strong technical and problem-solving skills.,88150,105056,Austin,0
"SQL, Node.js, Machine Learning, Kubernetes, React",7,PhD,"ML Engineer, Data Scientist","Google ML Certificate, DataCamp DS",69824,Austin,Backend Engineer,"Node.js, Data Analysis, Machine Learning, React",0,Looking for a motivated individual with strong technical and problem-solving skills.,96112,110063,Remote,0
"Docker, Java, AWS, NLP, TensorFlow",11,High School,"Data Scientist, AI Researcher","AWS Certified, DataCamp DS",98033,New York,ML Engineer,"Deep Learning, Data Analysis, NLP",7,Looking for a motivated individual with strong technical and problem-solving skills.,70516,149632,New York,0
"Machine Learning, Python, Node.js",0,Master's,ML Engineer,Google ML Certificate,117944,Remote,Backend Engineer,"Python, Kubernetes, Data Analysis, Machine Learning, React",6,Looking for a motivated individual with strong technical and problem-solving skills.,78602,141143,Remote,0
"Machine Learning, Docker, SQL, Java",2,PhD,Backend Engineer,None,100412,San Francisco,Software Developer,"Docker, SQL, AWS, Node.js",1,Looking for a motivated individual with strong technical and problem-solving skills.,93579,126562,San Francisco,1
"NLP, Data Analysis, TensorFlow, Deep Learning, Docker",7,Master's,"Software Developer, ML Engineer",AWS Certified,122109,Seattle,ML Engineer,"SQL, Deep Learning, React, TensorFlow",4,Looking for a motivated individual with strong technical and problem-solving skills.,93643,156490,Austin,0
"React, Machine Learning, Python, Node.js",2,PhD,AI Researcher,"None, Coursera NLP",119151,Remote,Data Scientist,"Python, Node.js, TensorFlow, Java, AWS",7,Looking for a motivated individual with strong technical and problem-solving skills.,95428,135804,New York,0
"TensorFlow, Pandas, React, Deep Learning, Java, AWS",7,Bachelor's,ML Engineer,"None, DataCamp DS",122166,Seattle,AI Researcher,"Node.js, Python, Deep Learning, Java",2,Looking for a motivated individual with strong technical and problem-solving skills.,76679,101220,Remote,0
"Machine Learning, Node.js, Deep Learning, Data Analysis, AWS",4,PhD,Software Developer,"DataCamp DS, Google ML Certificate",109342,San Francisco,Software Developer,"Pandas, Kubernetes, AWS",8,Looking for a motivated individual with strong technical and problem-solving skills.,75678,151568,Remote,0
"SQL, Deep Learning, TensorFlow, Docker",5,Bachelor's,Software Developer,"AWS Certified, None",64377,Seattle,Backend Engineer,"SQL, AWS, Pandas, Java",4,Looking for a motivated individual with strong technical and problem-solving skills.,82128,132211,Seattle,0
"React, TensorFlow, Node.js, Kubernetes, Data Analysis, Java",7,Bachelor's,AI Researcher,DataCamp DS,77954,New York,Software Developer,"Node.js, NLP, SQL",9,Looking for a motivated individual with strong technical and problem-solving skills.,63465,114787,Austin,0
"Docker, React, TensorFlow, Python, Data Analysis",12,PhD,AI Researcher,"DataCamp DS, Google ML Certificate",112451,Remote,Software Developer,"Node.js, Java, React, Deep Learning, Data Analysis",7,Looking for a motivated individual with strong technical and problem-solving skills.,84125,151427,New York,0
"Deep Learning, NLP, Java",0,Master's,"Software Developer, Backend Engineer",DataCamp DS,98433,Seattle,Backend Engineer,"SQL, React, Pandas, Deep Learning",10,Looking for a motivated individual with strong technical and problem-solving skills.,82073,111699,Remote,0
"Machine Learning, React, Node.js, Java",2,PhD,"Backend Engineer, Data Scientist","DataCamp DS, Coursera NLP",88312,Seattle,Software Developer,"Python, Data Analysis, Deep Learning, AWS, Node.js",5,Looking for a motivated individual with strong technical and problem-solving skills.,78135,150854,Austin,0
"SQL, Python, Machine Learning, Kubernetes, Pandas, Java",6,Bachelor's,ML Engineer,"Google ML Certificate, DataCamp DS",74048,Seattle,Backend Engineer,"Python, SQL, AWS, Pandas",7,Looking for a motivated individual with strong technical and problem-solving skills.,77078,149884,Austin,0
"Deep Learning, NLP, AWS",2,PhD,Data Scientist,"None, Coursera NLP",119868,New York,Backend Engineer,"AWS, React, Python",4,Looking for a motivated individual with strong technical and problem-solving skills.,65797,119560,New York,0
"Python, Machine Learning, Kubernetes",7,High School,AI Researcher,"None, Google ML Certificate",117714,New York,AI Researcher,"Pandas, SQL, TensorFlow, Python",5,Looking for a motivated individual with strong technical and problem-solving skills.,75960,116686,San Francisco,0
"TensorFlow, Node.js, React, Deep Learning, Machine Learning, Java",10,Master's,Data Scientist,Coursera NLP,133231,Seattle,ML Engineer,"Node.js, React, AWS",5,Looking for a motivated individual with strong technical and problem-solving skills.,67444,116047,San Francisco,0
"Deep Learning, Pandas, Kubernetes, AWS, Python",10,PhD,Data Scientist,"DataCamp DS, AWS Certified",148415,Austin,ML Engineer,"Kubernetes, NLP, React",4,Looking for a motivated individual with strong technical and problem-solving skills.,84252,122354,Austin,0
"Pandas, Data Analysis, Machine Learning, Docker",3,High School,AI Researcher,Coursera NLP,53221,Austin,AI Researcher,"Pandas, Kubernetes, Data Analysis, AWS",10,Looking for a motivated individual with strong technical and problem-solving skills.,95521,120737,New York,0
"Java, Machine Learning, NLP, React",5,PhD,"Software Developer, Data Scientist",Coursera NLP,111939,Remote,Software Developer,"Pandas, SQL, TensorFlow, Java",1,Looking for a motivated individual with strong technical and problem-solving skills.,66859,114800,San Francisco,0
"Deep Learning, Pandas, Python, SQL",12,High School,"Backend Engineer, ML Engineer","DataCamp DS, Google ML Certificate",72024,Seattle,Software Developer,"Kubernetes, NLP, Java, Deep Learning",1,Looking for a motivated individual with strong technical and problem-solving skills.,90328,113764,New York,0
"TensorFlow, SQL, AWS, React",5,High School,"Backend Engineer, Software Developer","None, Coursera NLP",110804,Seattle,AI Researcher,"TensorFlow, Node.js, Pandas, AWS",4,Looking for a motivated individual with strong technical and problem-solving skills.,89075,109960,Remote,0
"Python, Node.js, React",11,High School,"Backend Engineer, ML Engineer",Coursera NLP,134357,Remote,Backend Engineer,"Data Analysis, React, Python, Pandas, Deep Learning",6,Looking for a motivated individual with strong technical and problem-solving skills.,82307,132166,Remote,0
"AWS, Deep Learning, NLP, Python, TensorFlow, Data Analysis",4,Master's,ML Engineer,"Coursera NLP, AWS Certified",100076,Austin,Software Developer,"TensorFlow, Kubernetes, NLP, Java, AWS",1,Looking for a motivated individual with strong technical and problem-solving skills.,72370,137319,New York,0
"SQL, Node.js, Data Analysis, AWS",7,Master's,"Software Developer, ML Engineer","Google ML Certificate, AWS Certified",90172,New York,Software Developer,"Python, NLP, Kubernetes, Java, SQL",1,Looking for a motivated individual with strong technical and problem-solving skills.,76862,155340,Remote,0
"Node.js, Pandas, NLP, Data Analysis, Docker, AWS",0,PhD,Data Scientist,Google ML Certificate,93965,San Francisco,AI Researcher,"AWS, SQL, Node.js",3,Looking for a motivated individual with strong technical and problem-solving skills.,81979,116961,Remote,0
"Kubernetes, Deep Learning, Pandas, Machine Learning",5,High School,Software Developer,None,108335,Remote,Software Developer,"Machine Learning, Pandas, React, Data Analysis, Kubernetes",9,Looking for a motivated individual with strong technical and problem-solving skills.,68461,117703,Austin,0
"Node.js, Pandas, Docker, Data Analysis",9,Bachelor's,"Data Scientist, Software Developer","AWS Certified, Coursera NLP",129234,Seattle,AI Researcher,"Machine Learning, Python, NLP, Deep Learning",5,Looking for a motivated individual with strong technical and problem-solving skills.,97513,123269,San Francisco,0
"AWS, Deep Learning, SQL, Data Analysis",5,Bachelor's,Software Developer,Google ML Certificate,142070,Seattle,Data Scientist,"Kubernetes, Node.js, SQL, React, AWS",1,Looking for a motivated individual with strong technical and problem-solving skills.,78798,119570,Seattle,0
"TensorFlow, Docker, SQL",5,Bachelor's,"AI Researcher, Data Scientist","None, Google ML Certificate",146023,Remote,AI Researcher,"Python, React, TensorFlow, Docker",4,Looking for a motivated individual with strong technical and problem-solving skills.,78258,129727,New York,0
"Node.js, AWS, React",9,Master's,AI Researcher,"Google ML Certificate, Coursera NLP",121777,Austin,Software Developer,"Java, Pandas, Machine Learning, Docker, AWS",8,Looking for a motivated individual with strong technical and problem-solving skills.,68805,122651,Austin,0
"Java, Kubernetes, SQL, AWS",8,PhD,"Data Scientist, Backend Engineer","None, DataCamp DS",149820,San Francisco,AI Researcher,"React, Java, NLP",8,Looking for a motivated individual with strong technical and problem-solving skills.,87155,148241,New York,0
"Pandas, React, Java, NLP, Node.js, AWS",8,Master's,"ML Engineer, Backend Engineer",AWS Certified,65041,New York,Data Scientist,"React, Node.js, AWS, TensorFlow, Kubernetes",0,Looking for a motivated individual with strong technical and problem-solving skills.,82806,144800,San Francisco,0
"Docker, Pandas, React, Java",7,PhD,"Backend Engineer, Data Scientist","None, DataCamp DS",72654,New York,ML Engineer,"Deep Learning, SQL, Node.js, NLP",6,Looking for a motivated individual with strong technical and problem-solving skills.,93956,127050,Remote,0
"Node.js, Docker, React, Kubernetes, Pandas, SQL",3,High School,Data Scientist,AWS Certified,111365,Remote,ML Engineer,"NLP, AWS, Python",1,Looking for a motivated individual with strong technical and problem-solving skills.,75925,127401,Remote,0
"Java, Pandas, TensorFlow, Kubernetes, Python, Node.js",11,Bachelor's,"Backend Engineer, Data Scientist","Google ML Certificate, Coursera NLP",54061,Remote,ML Engineer,"Node.js, Python, NLP, Data Analysis, Java",7,Looking for a motivated individual with strong technical and problem-solving skills.,91508,154123,Austin,0
"Java, NLP, Kubernetes",10,PhD,"Data Scientist, Backend Engineer","None, AWS Certified",143180,San Francisco,Software Developer,"Node.js, Machine Learning, Docker",3,Looking for a motivated individual with strong technical and problem-solving skills.,72803,104780,San Francisco,0
"Pandas, Deep Learning, TensorFlow, SQL, React, Docker",12,Bachelor's,"Software Developer, Data Scientist","Coursera NLP, AWS Certified",93435,Remote,ML Engineer,"SQL, TensorFlow, Kubernetes, Machine Learning, Deep Learning",10,Looking for a motivated individual with strong technical and problem-solving skills.,65648,139422,Austin,0
"Python, Deep Learning, NLP, Pandas",9,Bachelor's,"AI Researcher, Backend Engineer","AWS Certified, DataCamp DS",56175,Remote,AI Researcher,"Java, Docker, SQL, Machine Learning",2,Looking for a motivated individual with strong technical and problem-solving skills.,75632,143978,Remote,0
"Data Analysis, TensorFlow, Python, NLP, Deep Learning, Kubernetes",4,High School,Software Developer,AWS Certified,83614,Austin,Software Developer,"Java, Docker, Kubernetes",4,Looking for a motivated individual with strong technical and problem-solving skills.,63072,128679,Seattle,0
"AWS, Python, Machine Learning, Kubernetes",4,High School,AI Researcher,DataCamp DS,117082,Austin,Backend Engineer,"SQL, Data Analysis, AWS, Machine Learning, Java",5,Looking for a motivated individual with strong technical and problem-solving skills.,87746,110440,San Francisco,0
"Deep Learning, SQL, Java, Pandas, NLP, TensorFlow",8,Bachelor's,Data Scientist,Google ML Certificate,83929,Austin,Software Developer,"NLP, Node.js, AWS",1,Looking for a motivated individual with strong technical and problem-solving skills.,89263,115659,Seattle,0
"TensorFlow, SQL, Java, Docker, Pandas, AWS",8,Master's,AI Researcher,"Coursera NLP, AWS Certified",92465,Remote,ML Engineer,"Node.js, Deep Learning, Pandas",2,Looking for a motivated individual with strong technical and problem-solving skills.,84644,112499,New York,0
"Node.js, Kubernetes, Data Analysis",1,Bachelor's,ML Engineer,"AWS Certified, Coursera NLP",126901,Remote,Data Scientist,"Data Analysis, Docker, TensorFlow, Pandas, AWS",4,Looking for a motivated individual with strong technical and problem-solving skills.,75309,151514,Austin,0
"React, AWS, Node.js",3,High School,Data Scientist,Google ML Certificate,72398,San Francisco,Backend Engineer,"Kubernetes, Pandas, Machine Learning, SQL, AWS",7,Looking for a motivated individual with strong technical and problem-solving skills.,65771,147399,Seattle,0
"AWS, TensorFlow, Machine Learning",3,High School,ML Engineer,"DataCamp DS, None",118820,New York,Software Developer,"Java, Data Analysis, React, SQL",10,Looking for a motivated individual with strong technical and problem-solving skills.,76500,127437,Remote,0
"Java, TensorFlow, Python, Deep Learning, Kubernetes",11,PhD,"ML Engineer, Backend Engineer",DataCamp DS,117699,Remote,AI Researcher,"Machine Learning, TensorFlow, Docker",1,Looking for a motivated individual with strong technical and problem-solving skills.,61444,117912,New York,0
"Pandas, Data Analysis, React, Machine Learning",12,High School,"Backend Engineer, Data Scientist",None,116897,San Francisco,Backend Engineer,"Data Analysis, Pandas, NLP",10,Looking for a motivated individual with strong technical and problem-solving skills.,71873,154253,Remote,1
"React, Java, NLP, Data Analysis, Node.js",10,Bachelor's,ML Engineer,DataCamp DS,144268,Seattle,Backend Engineer,"SQL, Java, Kubernetes",0,Looking for a motivated individual with strong technical and problem-solving skills.,67982,130861,Austin,0
"Pandas, Python, TensorFlow, React",1,High School,"ML Engineer, AI Researcher",Coursera NLP,143920,Austin,Backend Engineer,"NLP, Python, Data Analysis, AWS",10,Looking for a motivated individual with strong technical and problem-solving skills.,92977,118648,Remote,0
"SQL, Kubernetes, Pandas, NLP, Node.js",10,High School,Software Developer,Coursera NLP,114527,Remote,ML Engineer,"TensorFlow, Java, Pandas",6,Looking for a motivated individual with strong technical and problem-solving skills.,88467,108517,San Francisco,0
"React, Machine Learning, SQL",5,Bachelor's,AI Researcher,Coursera NLP,136551,New York,ML Engineer,"Docker, Kubernetes, TensorFlow",6,Looking for a motivated individual with strong technical and problem-solving skills.,63284,100287,Austin,0
"Deep Learning, AWS, Python, Java",3,High School,Data Scientist,"DataCamp DS, Coursera NLP",51579,Seattle,Software Developer,"SQL, Kubernetes, Node.js, NLP",0,Looking for a motivated individual with strong technical and problem-solving skills.,99133,142745,Remote,0
"Machine Learning, Pandas, Docker, Data Analysis, NLP",7,PhD,"Software Developer, AI Researcher","None, AWS Certified",64468,Austin,Backend Engineer,"Docker, Kubernetes, AWS, Deep Learning",1,Looking for a motivated individual with strong technical and problem-solving skills.,74512,147054,Seattle,0
"AWS, Kubernetes, Node.js, Machine Learning",6,High School,"Software Developer, AI Researcher","Coursera NLP, Google ML Certificate",137754,Seattle,Backend Engineer,"Kubernetes, Machine Learning, AWS, Java",2,Looking for a motivated individual with strong technical and problem-solving skills.,97852,147820,New York,0
"Data Analysis, TensorFlow, Node.js, Kubernetes, Deep Learning",8,Master's,"Data Scientist, Backend Engineer",DataCamp DS,59058,Austin,Software Developer,"Kubernetes, NLP, Node.js, SQL, Java",10,Looking for a motivated individual with strong technical and problem-solving skills.,94771,123384,Remote,0
"Docker, Node.js, Deep Learning, React, NLP, Machine Learning",8,Bachelor's,"Data Scientist, AI Researcher",DataCamp DS,102983,Remote,Backend Engineer,"Java, Docker, Deep Learning",1,Looking for a motivated individual with strong technical and problem-solving skills.,72933,151792,Remote,1
"Deep Learning, NLP, Node.js, Docker, TensorFlow",10,High School,Backend Engineer,"AWS Certified, Coursera NLP",55947,Seattle,ML Engineer,"NLP, Kubernetes, Deep Learning",9,Looking for a motivated individual with strong technical and problem-solving skills.,92380,141462,New York,0
"Python, Pandas, Kubernetes, Node.js",9,Master's,Backend Engineer,"Coursera NLP, AWS Certified",131629,San Francisco,ML Engineer,"NLP, Deep Learning, AWS, Python",2,Looking for a motivated individual with strong technical and problem-solving skills.,81729,105031,Remote,0
"Java, Deep Learning, NLP, Data Analysis, AWS",5,High School,"Backend Engineer, ML Engineer",None,70230,San Francisco,Data Scientist,"Java, Kubernetes, Node.js",2,Looking for a motivated individual with strong technical and problem-solving skills.,89279,135634,Seattle,0
"TensorFlow, AWS, Python, NLP, Docker",11,Master's,ML Engineer,Google ML Certificate,116619,San Francisco,AI Researcher,"SQL, TensorFlow, Data Analysis",4,Looking for a motivated individual with strong technical and problem-solving skills.,90084,128989,San Francisco,0
"TensorFlow, Java, NLP",4,Master's,Software Developer,None,50225,Austin,AI Researcher,"Node.js, SQL, Deep Learning",3,Looking for a motivated individual with strong technical and problem-solving skills.,70357,125165,Remote,0
"SQL, Java, Machine Learning, Pandas",4,Master's,"Data Scientist, Software Developer","AWS Certified, DataCamp DS",55538,Seattle,ML Engineer,"Python, SQL, AWS, Machine Learning, Deep Learning",8,Looking for a motivated individual with strong technical and problem-solving skills.,75565,114379,Remote,0
"Pandas, React, AWS, Docker",9,Master's,Data Scientist,None,124160,San Francisco,AI Researcher,"NLP, Java, Deep Learning, React",0,Looking for a motivated individual with strong technical and problem-solving skills.,64697,119900,Remote,0
"Python, TensorFlow, NLP, Data Analysis, Machine Learning, AWS",2,Master's,Software Developer,"Coursera NLP, AWS Certified",109041,New York,Data Scientist,"Docker, React, SQL, Pandas, TensorFlow",10,Looking for a motivated individual with strong technical and problem-solving skills.,87275,113108,Seattle,0
"Node.js, Pandas, Data Analysis",0,High School,"AI Researcher, Backend Engineer",DataCamp DS,89943,San Francisco,Backend Engineer,"Docker, SQL, Python, AWS",4,Looking for a motivated individual with strong technical and problem-solving skills.,90798,114012,Austin,0
"TensorFlow, Python, Docker, Kubernetes",10,PhD,"Data Scientist, AI Researcher",Coursera NLP,91712,Seattle,Software Developer,"NLP, Deep Learning, Pandas",7,Looking for a motivated individual with strong technical and problem-solving skills.,79063,112180,Austin,0
"Deep Learning, Pandas, Python, AWS",1,PhD,"AI Researcher, ML Engineer","None, DataCamp DS",122898,Austin,ML Engineer,"Pandas, Machine Learning, Python",6,Looking for a motivated individual with strong technical and problem-solving skills.,65831,113108,Remote,0
"Java, Machine Learning, Deep Learning, TensorFlow, Node.js",11,High School,Data Scientist,AWS Certified,111022,San Francisco,Software Developer,"Data Analysis, Pandas, Machine Learning",9,Looking for a motivated individual with strong technical and problem-solving skills.,91447,142556,Seattle,0
"Machine Learning, Docker, Data Analysis, React, Python, AWS",8,High School,"AI Researcher, ML Engineer","AWS Certified, DataCamp DS",76985,Remote,Software Developer,"Machine Learning, Data Analysis, Node.js",4,Looking for a motivated individual with strong technical and problem-solving skills.,72150,102200,Remote,1
"AWS, Node.js, Python, Docker, SQL, React",11,High School,"ML Engineer, AI Researcher","AWS Certified, None",90026,Seattle,Software Developer,"Docker, Kubernetes, TensorFlow, React",4,Looking for a motivated individual with strong technical and problem-solving skills.,79118,121230,New York,0
"Docker, Kubernetes, Node.js, React",11,Master's,AI Researcher,None,120371,Remote,Software Developer,"AWS, Docker, TensorFlow, Machine Learning",3,Looking for a motivated individual with strong technical and problem-solving skills.,80660,136697,Austin,0
"Machine Learning, SQL, Node.js, NLP, Kubernetes, Java",6,Bachelor's,"ML Engineer, Data Scientist","Google ML Certificate, Coursera NLP",50444,San Francisco,Data Scientist,"Python, Machine Learning, Pandas, Node.js",1,Looking for a motivated individual with strong technical and problem-solving skills.,70507,117989,Seattle,0
"Docker, Kubernetes, Machine Learning, AWS",9,Bachelor's,AI Researcher,None,115209,Seattle,Data Scientist,"Node.js, Data Analysis, Docker",7,Looking for a motivated individual with strong technical and problem-solving skills.,99400,112568,New York,0
"Data Analysis, React, Node.js, NLP, Kubernetes, TensorFlow",3,Bachelor's,"ML Engineer, AI Researcher",None,74757,Austin,AI Researcher,"Data Analysis, NLP, TensorFlow",5,Looking for a motivated individual with strong technical and problem-solving skills.,63077,119412,Remote,0
"Data Analysis, Node.js, Java, React, Kubernetes, NLP",2,High School,"Software Developer, ML Engineer",Coursera NLP,78421,San Francisco,Software Developer,"NLP, Deep Learning, React, Java",5,Looking for a motivated individual with strong technical and problem-solving skills.,90523,146350,Austin,0
"Pandas, SQL, Java, Deep Learning, Machine Learning, Python",3,Master's,Software Developer,None,118285,San Francisco,Data Scientist,"Java, Machine Learning, Node.js",0,Looking for a motivated individual with strong technical and problem-solving skills.,61691,156867,San Francisco,1
"Kubernetes, AWS, Docker, Java, TensorFlow",5,Bachelor's,"Software Developer, ML Engineer","None, Coursera NLP",141913,New York,Data Scientist,"Docker, React, Machine Learning, NLP",6,Looking for a motivated individual with strong technical and problem-solving skills.,81084,137003,Austin,0
"Deep Learning, Java, Node.js, Python, Pandas",11,PhD,Backend Engineer,"Google ML Certificate, DataCamp DS",107032,San Francisco,AI Researcher,"Pandas, Node.js, Java",6,Looking for a motivated individual with strong technical and problem-solving skills.,60271,114940,Austin,0
"Kubernetes, React, Docker, Data Analysis, Machine Learning, SQL",8,High School,Backend Engineer,DataCamp DS,113260,Austin,Software Developer,"Kubernetes, Data Analysis, Java, NLP",9,Looking for a motivated individual with strong technical and problem-solving skills.,61066,139599,Austin,0
"Node.js, React, Docker",0,Master's,Data Scientist,Coursera NLP,113613,Remote,Software Developer,"SQL, Deep Learning, Node.js, Python, Kubernetes",6,Looking for a motivated individual with strong technical and problem-solving skills.,79900,118529,Remote,0
"Data Analysis, TensorFlow, Pandas, SQL",5,Bachelor's,AI Researcher,Coursera NLP,111042,New York,ML Engineer,"AWS, TensorFlow, Machine Learning, Data Analysis",10,Looking for a motivated individual with strong technical and problem-solving skills.,87478,155795,San Francisco,0
"Deep Learning, NLP, Java",8,PhD,Data Scientist,"AWS Certified, None",132787,Remote,Data Scientist,"Deep Learning, NLP, Machine Learning",3,Looking for a motivated individual with strong technical and problem-solving skills.,63272,124586,Seattle,0
"Data Analysis, Pandas, TensorFlow, Deep Learning",6,High School,"AI Researcher, Data Scientist","AWS Certified, None",59553,Seattle,Backend Engineer,"Machine Learning, NLP, Docker, TensorFlow",5,Looking for a motivated individual with strong technical and problem-solving skills.,71954,124097,Seattle,0
"Data Analysis, Java, Docker, Pandas",6,Bachelor's,ML Engineer,Coursera NLP,101910,Remote,Data Scientist,"AWS, Java, Pandas, Machine Learning, Deep Learning",1,Looking for a motivated individual with strong technical and problem-solving skills.,66121,139525,New York,0
"Deep Learning, SQL, Python, React, NLP, Machine Learning",7,Bachelor's,"Software Developer, Backend Engineer",Coursera NLP,57547,New York,Backend Engineer,"Docker, Machine Learning, Deep Learning, AWS",5,Looking for a motivated individual with strong technical and problem-solving skills.,90690,147928,Remote,0
"Java, Docker, Kubernetes, TensorFlow, Machine Learning, Node.js",2,Bachelor's,"Software Developer, Data Scientist","Google ML Certificate, Coursera NLP",129265,San Francisco,Backend Engineer,"NLP, React, Java, Kubernetes, TensorFlow",3,Looking for a motivated individual with strong technical and problem-solving skills.,88731,148561,Seattle,0
"Java, Docker, Node.js, Pandas, NLP",4,PhD,Data Scientist,"Google ML Certificate, DataCamp DS",84714,New York,Backend Engineer,"Node.js, Python, TensorFlow, Machine Learning, AWS",1,Looking for a motivated individual with strong technical and problem-solving skills.,73162,101401,San Francisco,0
"React, Kubernetes, Node.js, AWS, Pandas, Python",2,High School,Data Scientist,None,87929,Austin,ML Engineer,"Python, Java, React, Machine Learning",10,Looking for a motivated individual with strong technical and problem-solving skills.,82665,144070,Remote,0
"Python, AWS, Machine Learning",11,PhD,"ML Engineer, Data Scientist",AWS Certified,94707,Remote,AI Researcher,"Kubernetes, Node.js, Deep Learning",8,Looking for a motivated individual with strong technical and problem-solving skills.,65193,114732,Seattle,0
"Kubernetes, Data Analysis, AWS",8,Bachelor's,Backend Engineer,"Coursera NLP, DataCamp DS",122459,Remote,AI Researcher,"SQL, Deep Learning, Node.js",3,Looking for a motivated individual with strong technical and problem-solving skills.,74987,121277,Remote,0
"Java, Data Analysis, Kubernetes, NLP, Machine Learning, AWS",10,Bachelor's,"AI Researcher, ML Engineer",None,126874,Seattle,Software Developer,"Java, NLP, TensorFlow, Kubernetes",2,Looking for a motivated individual with strong technical and problem-solving skills.,97187,133362,Remote,1
"Docker, SQL, Node.js, AWS, Java, Python",0,PhD,"Backend Engineer, Data Scientist",AWS Certified,142431,Seattle,AI Researcher,"Data Analysis, React, Kubernetes, Pandas, SQL",9,Looking for a motivated individual with strong technical and problem-solving skills.,64424,145971,Seattle,0
"Deep Learning, Node.js, Kubernetes",5,Master's,ML Engineer,DataCamp DS,135339,San Francisco,Backend Engineer,"Python, AWS, SQL, Node.js",4,Looking for a motivated individual with strong technical and problem-solving skills.,84241,100233,Remote,0
"NLP, SQL, Deep Learning",10,Bachelor's,AI Researcher,Coursera NLP,91309,Remote,ML Engineer,"Node.js, Machine Learning, NLP, React, Python",6,Looking for a motivated individual with strong technical and problem-solving skills.,90964,121192,Austin,0
"Node.js, Machine Learning, Pandas, Deep Learning, Java",11,Master's,Backend Engineer,"AWS Certified, DataCamp DS",147731,San Francisco,Backend Engineer,"TensorFlow, Node.js, Data Analysis, Docker",0,Looking for a motivated individual with strong technical and problem-solving skills.,60321,117394,San Francisco,0
"Docker, Kubernetes, Machine Learning, AWS, Data Analysis, SQL",4,Bachelor's,AI Researcher,DataCamp DS,99905,Austin,Software Developer,"AWS, Deep Learning, React, Kubernetes, NLP",7,Looking for a motivated individual with strong technical and problem-solving skills.,98651,122500,New York,0
"TensorFlow, SQL, React, Java, Data Analysis",6,High School,ML Engineer,DataCamp DS,65689,New York,ML Engineer,"Python, SQL, Java",7,Looking for a motivated individual with strong technical and problem-solving skills.,73296,143537,San Francisco,0
"Data Analysis, Node.js, React, Deep Learning",0,Bachelor's,Backend Engineer,None,130676,New York,AI Researcher,"Docker, Data Analysis, Node.js, SQL",3,Looking for a motivated individual with strong technical and problem-solving skills.,85279,149600,Seattle,0
"Java, Data Analysis, Deep Learning, AWS",9,Bachelor's,Backend Engineer,None,67986,Seattle,Software Developer,"TensorFlow, Python, Node.js",7,Looking for a motivated individual with strong technical and problem-solving skills.,98223,131566,New York,0
"TensorFlow, Node.js, Pandas, NLP, React, Data Analysis",2,High School,"Data Scientist, ML Engineer",Google ML Certificate,79885,Seattle,Data Scientist,"Machine Learning, Data Analysis, Deep Learning, SQL, Kubernetes",0,Looking for a motivated individual with strong technical and problem-solving skills.,91781,144109,Seattle,0
"SQL, Java, Data Analysis",7,Bachelor's,Software Developer,None,97063,Seattle,ML Engineer,"Deep Learning, Node.js, SQL, AWS",2,Looking for a motivated individual with strong technical and problem-solving skills.,96289,132853,Seattle,0
